documentId,title,slug,publishedAt,updatedAt,author,category,mainImage,excerptOrMetaDescription,state,originalWebflowSlug
post-my-1st-biggest-mistake,My 1st Biggest Mistake,my-1st-biggest-mistake,2026-02-26T08:08:18.000Z,2026-02-26T08:08:18.000Z,Hannes Oosthuizen,Founders Diary,present,"Staying hyper-involved in every part of your business may feel necessary—but it can silently block growth. Here’s the mistake I made as a founder, how I fixed it, and why delegating ownership is your superpower for scaling successfully.",published,my-1st-biggest-mistake
post-the-power-of-linkedin,The Power of LinkedIn,the-power-of-linkedin,2026-02-17T14:52:26.000Z,2026-02-17T14:52:26.000Z,Hannes Oosthuizen,Founders Diary,present,"I started posting daily on LinkedIn with no expectations… and in 7 days, my profile visits and engagement skyrocketed. Here’s why showing up consistently is the ultimate trust-building strategy for founders.",published,the-power-of-linkedin
post-how-to-not-suck-at-job-applications,How to not suck at job applications,how-to-not-suck-at-job-applications,2026-02-12T08:17:13.000Z,2026-02-12T08:17:13.000Z,Hannes Oosthuizen,For Professionals,present,"Most job applications fail in the first six seconds - not because the candidate lacks talent, but because they ignore basic instructions. After reviewing 100+ applications for freelance roles, we break down what applicants consistently get ",published,how-to-not-suck-at-job-applications
post-momentum-fever,Momentum Fever,momentum-fever,2026-02-05T09:00:02.000Z,2026-02-05T09:00:02.000Z,Hannes Oosthuizen,Founders Diary,present,"Is your team drowning in “ASAP” requests every week? That urgent rush isn’t a sign of high performance - it’s momentum fever: confusing busywork with real progress. When leadership mistakes frantic motion for productivity, the result is bur",published,momentum-fever
post-keep-positioning-yourself,Keep positioning yourself,keep-positioning-yourself,2026-02-05T08:06:28.000Z,2026-01-29T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Most founders wait for calm before fixing positioning - but chaos is the default. Long-term success comes from consistently showing up, executing under pressure, and reinforcing what you stand for until the market recognizes your signal ove",published,keep-positioning-yourself
post-new-years-resolutions,New Year’s Resolutions,new-years-resolutions,2026-01-15T09:32:13.000Z,2026-01-15T09:03:24.000Z,Hannes Oosthuizen,Founders Diary,present,"New Year’s resolutions aren’t just goals - they’re a shift in identity. This blog explores the invisible constraints holding you back and offers six simple changes to help you break free, sharpen your process, and make 2026 your most produc",published,new-years-resolutions
post-goals-vs-movement,Goals vs. Movement,goals-vs-movement,2025-12-04T09:07:58.000Z,2025-12-04T09:07:58.000Z,Hannes Oosthuizen,Founders Diary,present,"This year taught me that hitting every goal isn’t what defines success - movement does. In a world that shifts faster than our plans can keep up, the real wins come from taking action, adapting, and following the unexpected paths that open ",published,goals-vs-movement
post-2025-in-retrospect,2025 In Retrospect,2025-in-retrospect,2026-01-15T07:52:26.000Z,2026-01-15T07:52:26.000Z,Hannes Oosthuizen,Founders Diary,present,"2025 was the year of slowing down to scale up-reworking systems, building an internal OS, shifting to subscriptions, restructuring the team, and levelling up creative output. Here are the biggest lessons from a year spent fixing the plumbin",published,2025-in-retrospect
post-long-term-greed,Long-Term Greed,long-term-greed,2025-11-20T10:42:38.000Z,2025-11-20T09:12:27.000Z,Hannes Oosthuizen,Founders Diary,present,"Why do agencies keep burning clients? Because they optimise for the wrong timeline. See how long-term greed transforms results, trust, and partnerships.",published,long-term-greed
post-dick-proves-the-agency-stereotype,Dick Proves the Agency Stereotype,dick-proves-the-agency-stereotype,2025-11-20T09:01:24.000Z,2025-11-20T08:52:36.000Z,Hannes Oosthuizen,Founders Diary,present,"We’ve all met that agency - big promises, zero follow-through. Our latest piece dives into why that stereotype still exists and how Nexubis set out to do the opposite: real ownership, lasting partnerships, and work that keeps moving after l",published,dick-proves-the-agency-stereotype
post-striving-for-culinary-perfection,Striving for “Culinary” Perfection,striving-for-culinary-perfection,2025-10-22T12:57:25.000Z,2025-10-09T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Perfection usually hides in the basics. Like a great burger, a great business comes down to simple ingredients, mastered through obsession. Cooking and business have more in common than you’d think. The best burger I ever made taught me tha",published,striving-for-culinary-perfection
post-the-walter-mitty-effect,The Walter Mitty Effect,the-walter-mitty-effect,2025-10-03T12:17:21.000Z,2025-10-03T12:17:21.000Z,Hannes Oosthuizen,Founders Diary,present,"There’s a line in The Secret Life of Walter Mitty that hit me hard: “To see the world, things dangerous to come to, to see behind walls, draw closer, to find each other, and to feel. That is the purpose of life.”",published,the-walter-mitty-effect
post-the-discipline-of-quitting,The Discipline of Quitting,the-discipline-of-quitting,2025-10-22T12:57:25.000Z,2025-10-03T12:17:50.000Z,Hannes Oosthuizen,Founders Diary,present,"We’ve been sold the lie that discipline means grinding forever. But the founders who thrive aren’t the ones who cling to everything - they’re the ones who quit strategically. From outdated business models to draining busywork, quitting isn’",published,the-discipline-of-quitting
post-empowering-women-with-project-flamingo,Empowering Women with Project Flamingo,empowering-women-with-project-flamingo,2025-09-18T11:08:09.000Z,2025-09-11T09:03:21.000Z,Hannes Oosthuizen,Empowering Dreams,present,"For founders, purpose matters as much as growth. This Women’s Day, Nexubis partnered with Project Flamingo and the Girl Guides to support women recovering from breast cancer. Through design, donations, and volunteering, we showed how busine",published,empowering-women-with-project-flamingo
post-the-legendary-play,The Legendary Play,the-legendary-play,2025-09-18T11:08:09.000Z,2025-09-05T11:09:21.000Z,Hannes Oosthuizen,Founders Diary,present,"Conflict isn’t a bug in business - it’s a feature. Instead of choosing fight or fold, use a creative “third option” to reframe disputes, operate in good faith, and turn tense moments into stronger, longer-term partnerships. Here’s the found",published,the-legendary-play
post-keep-firing-yourself-part-2,Keep Firing Yourself (Part 2),keep-firing-yourself-part-2,2025-08-26T11:27:50.000Z,2025-07-18T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"The goal was never to disappear. It was to build something that doesn’t fall apart when you do. This is the real test: not just delegation, but complete removal - and what happens next when you finally step away.",published,keep-firing-yourself-part-2
post-skip-the-ladder-join-a-startup,Skip the Ladder. Join a Startup.,skip-the-ladder-join-a-startup,2026-01-15T07:52:34.000Z,2026-01-15T07:52:34.000Z,Hannes Oosthuizen,For Professionals,present,"Startups build more than products - they build people. This blog unpacks how early-stage roles can fast-track your career, sharpen your adaptability, and give you the kind of impact most corporate roles won’t. From visibility to velocity - ",published,skip-the-ladder-join-a-startup
post-fresh-out-of-college-now-what,Fresh Out of College… Now What?,fresh-out-of-college-now-what,2025-08-26T11:27:50.000Z,2025-07-16T09:00:01.000Z,Hannes Oosthuizen,For Professionals,present,"Welcome to the real world - where “hardworking” and “good vibes” don’t cut it. Whether you're fresh out of college or just breaking into the creative industry, this guide gives you the essentials: a no-BS CV, a tailored cover letter, and a ",published,fresh-out-of-college-now-what
post-for-professionals-by-professionals,"For Professionals, By Professionals",for-professionals-by-professionals,2025-08-26T11:27:50.000Z,2025-07-15T09:00:01.000Z,Hannes Oosthuizen,For Professionals,present,"You won’t find fluff here. Just the hard-earned lessons, mindset shifts, and tools creative professionals need to thrive - whether you’re new, stuck, or scaling.",published,for-professionals-by-professionals
post-pick-your-battles,Pick Your Battles,pick-your-battles,2025-08-26T11:27:50.000Z,2025-07-17T08:48:54.000Z,Hannes Oosthuizen,Founders Diary,present,"Not every fight is worth the focus it costs. When a client questioned a UI deliverable, we didn’t lose the money - we lost momentum. This story’s for founders who need tighter boundaries, better briefing systems, and a reminder that your re",published,pick-your-battles
post-make-it-memorable,Make It Memorable,make-it-memorable,2025-08-26T11:27:50.000Z,2025-07-11T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Great experiences don’t just satisfy - they stick. This isn’t a story about fine dining. It’s about how one small restaurant quietly became the benchmark for everything I believe about brand loyalty, emotional resonance, and building someth",published,make-it-memorable
post-your-perception-is-your-reality,Your Perception Is Your Reality,your-perception-is-your-reality,2025-08-26T11:27:50.000Z,2025-07-10T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Most people design based on assumptions - not insight. This blog breaks down why context matters more than expectations, and how asking the right questions leads to real results. A man walks through a glass door - literally. It’s not magic.",published,your-perception-is-your-reality
post-make-complex-simple,Make Complex Simple,make-complex-simple,2025-08-26T11:27:50.000Z,2025-07-09T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Design isn’t art. It’s not a flex. And it sure as hell isn’t a scroll-triggered stunt show. In this brutally honest take, we call out the obsession with aesthetics, the broken awards culture, and why function - not flash - is the future of ",published,make-complex-simple
post-10-better-or-dont-bother,10% Better or Don’t Bother,10-better-or-dont-bother,2025-08-26T11:27:50.000Z,2025-07-08T09:00:03.000Z,Hannes Oosthuizen,Founders Diary,present,"We didn’t just update our pricing - we overhauled the whole experience. From feedback-fueled UX rewrites to a trial model that actually builds trust, here’s how we fixed our conversion bottleneck by doing what most competitors skip: making ",published,10-better-or-dont-bother
post-the-disruption,The Disruption,the-disruption,2025-08-26T11:27:50.000Z,2025-07-07T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Figma is coming for Webflow and Framer — and AGI is coming for your entire job stack. This isn’t just about tools. It’s about a total rewrite of how we create, code, and collaborate. Here’s what’s changing, and what you need to do now.",published,the-disruption
post-the-personal-belief-vs-ai-paradox,The Personal Belief vs. AI Paradox,the-personal-belief-vs-ai-paradox,2025-08-26T11:27:50.000Z,2025-07-04T09:15:01.000Z,Hannes Oosthuizen,Artificial Intelligence,present,"If you think AI is supposed to “just work,” you’ve already lost. The real skill in 2025 isn’t coding - it’s prompting. In this punchy breakdown, we unpack why AI isn’t replacing critical thinking - it’s demanding more of it. You don’t need ",published,the-personal-belief-vs-ai-paradox
post-straight-line-thinking,Straight Line Thinking,straight-line-thinking,2025-08-26T11:27:50.000Z,2025-07-03T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Sick of missed deadlines, vague briefs, and endless Slack threads? This blog breaks down the real reason your team’s stuck - and the straight-line system to fix it. Clear priorities, smart delegation, zero fluff.",published,straight-line-thinking
post-the-builders-will-survive,The Builders Will Survive,the-builders-will-survive,2025-08-26T11:27:50.000Z,2025-07-02T09:00:01.000Z,Hannes Oosthuizen,Artificial Intelligence,present,"Still think your job title will protect you from what’s coming? AGI doesn’t care about belief — it rewards speed, clarity, and execution. This is a wake-up call for founders, strategists, designers, and developers: the only ones who make it",published,the-builders-will-survive
post-the-age-of-agi,The Age of AGI,the-age-of-agi,2025-08-26T11:27:50.000Z,2025-07-01T09:00:01.000Z,Hannes Oosthuizen,Artificial Intelligence,present,"This isn’t just a tech shift — it’s a leadership reckoning. AGI won’t just change how we work, it will redefine what leadership even looks like. Strategy, execution, team roles — all up for grabs. The leaders who survive won’t be the ones w",published,the-age-of-agi
post-youre-not-ready-for-whats-coming,You’re Not Ready for What’s Coming,youre-not-ready-for-whats-coming,2025-08-26T11:27:50.000Z,2025-06-30T09:00:01.000Z,Hannes Oosthuizen,Artificial Intelligence,present,"AI is no longer a buzzword — it’s the new backbone of business. Tools like Figma, GPT-4 Turbo, and beyond are collapsing months of work into days. This blog breaks down what’s changing, what’s coming, and why your current stack might alread",published,youre-not-ready-for-whats-coming
post-automation-is-not-the-enemy,Automation Is Not the Enemy,automation-is-not-the-enemy,2025-08-26T11:27:50.000Z,2025-06-27T09:00:01.000Z,Hannes Oosthuizen,Artificial Intelligence,present,"AI isn’t here to replace you — it’s replacing what you do. From design systems that build themselves to plugins that ship faster than interns, the creative stack is shifting fast. Figma, Framer, and Uizard aren’t just tools anymore — they’r",published,automation-is-not-the-enemy
post-the-new-creative-stack,The New Creative Stack,the-new-creative-stack,2025-08-26T11:27:50.000Z,2025-06-26T09:00:01.000Z,Hannes Oosthuizen,Artificial Intelligence,present,"Figma just launched a full-stack creative suite that eliminates handoffs, streamlines strategy to shipping, and redefines team roles. This isn’t a redesign — it’s a revolution. If you’re still clinging to your five-tool stack, you’re alread",published,the-new-creative-stack
post-solve-the-boring-problem-first,Solve the Boring Problem First,solve-the-boring-problem-first,2025-08-26T11:27:50.000Z,2025-06-25T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Before you chase your big idea, solve something that’s already broken. Boring problems = massive opportunity—if you can fix them better than anyone else.",published,solve-the-boring-problem-first
post-startups-dont-need-more-features,Startups Don’t Need More Features,startups-dont-need-more-features,2025-08-26T11:27:50.000Z,2025-06-24T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Feature overload is wrecking your product. Learn how to fight feature creep, build with clarity, and focus on what actually drives growth — not what bloats your roadmap.",published,startups-dont-need-more-features
post-if-it-aint-broke-refine-it,If It Ain’t Broke… Refine It,if-it-aint-broke-refine-it,2025-06-23T09:00:01.000Z,2025-06-23T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"“If it ain’t broke, don’t fix it” sounds safe — until your pipeline dries up and your platform buckles under pressure. In business, waiting for failure is failure. This post breaks down why comfort kills, how incremental change drives real ",published,if-it-aint-broke-refine-it
post-dont-be-an-idiot-sandwich,Don’t Be an Idiot Sandwich,dont-be-an-idiot-sandwich,2025-06-19T09:36:33.000Z,2025-06-19T09:00:03.000Z,Hannes Oosthuizen,Founders Diary,present,"You’ve got vision. Big ideas. Disruption plans. But under the hood? Chaos. If your startup can’t nail the basics — clear roles, process, delivery — then you’re not scaling brilliance. You’re scaling dysfunction. Learn why the best unicorns ",published,dont-be-an-idiot-sandwich
post-do-something-useful,Do Something Useful,do-something-useful,2025-06-18T09:00:02.000Z,2025-06-18T09:00:02.000Z,Hannes Oosthuizen,Founders Diary,present,"Everyone’s got an opinion. Few make a difference. In a culture flooded with hot takes, this post calls out performative outrage and shows what it really takes to lead: ownership, action, and impact.",published,do-something-useful
post-eat-the-rich,Eat The Rich,eat-the-rich,2025-06-17T12:51:53.000Z,2025-06-17T09:00:03.000Z,Hannes Oosthuizen,Founders Diary,present,"Founders don’t get handed power — they earn it by taking on the risk, pressure, and chaos most people avoid. This post breaks down the truth behind the pitchforks.",published,eat-the-rich
post-startups-arent-a-family,Startups Aren’t a Family,startups-arent-a-family,2025-06-13T09:00:01.000Z,2025-06-13T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,“We’re like a family here.” You’ve said it. You’ve heard it. But here’s the truth: startups can’t afford family culture. This post explains why — and what to build instead.,published,startups-arent-a-family
post-the-flex-package,The Flex Package,the-flex-package,2025-06-12T13:57:42.000Z,2025-06-12T13:57:32.000Z,Hannes Oosthuizen,Company,present,"Not every business fits a cookie-cutter agency plan. That’s why we built Flex — a fully custom creative partnership for founders, startups, and growing teams. From Webflow to motion, dev to design, you get only what you need, shaped around ",published,the-flex-package
post-the-myth-of-the-perfect-hire,The Myth of the Perfect Hire,the-myth-of-the-perfect-hire,2025-06-12T09:00:01.000Z,2025-06-12T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Stop chasing the “perfect hire.” If you're scaling a startup, you need people who adapt, take ownership, and grow with the role. Here’s the strategy that works.",published,the-myth-of-the-perfect-hire
post-resentment-is-a-symptom-of-poor-process,Resentment Is a Symptom of Poor Process,resentment-is-a-symptom-of-poor-process,2025-06-11T11:27:07.000Z,2025-06-11T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,You’re frustrated. You’re rewriting work. You’re drowning. But is it really your team — or the system you never built? Time for a resentment audit.,published,resentment-is-a-symptom-of-poor-process
post-sell-the-slice-not-the-sauce,"Sell the Slice, Not the Sauce",sell-the-slice-not-the-sauce,2025-06-11T11:27:07.000Z,2025-06-10T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"Most cold pitches fail because they’re tone-deaf. If you’re pushing your offer before understanding the real need, you’re not selling — you’re annoying. Here’s how to pitch smarter, build trust, and close better.",published,sell-the-slice-not-the-sauce
post-just-start-the-damn-thing,Just Start the Damn Thing,just-start-the-damn-thing,2025-06-11T11:27:07.000Z,2025-06-09T09:00:43.000Z,Hannes Oosthuizen,Founders Diary,present,Stuck in startup limbo? It’s usually not the big fires — it’s the small things you keep putting off. Here’s how spending just 10 focused minutes can get you moving again.,published,just-start-the-damn-thing
post-rethinking-the-nexubis-trial,Rethinking the Nexubis Trial,rethinking-the-nexubis-trial,2025-06-12T13:55:37.000Z,2025-06-12T13:54:52.000Z,Hannes Oosthuizen,Company,present,"You don’t need a full contract or package to see how a team really works. Our trial gives you one month to collaborate on real deliverables, evaluate the partnership, and move forward only if it feels right. No pressure, no lock-in — just a",published,rethinking-the-nexubis-trial
post-dont-turn-into-a-robot,Don’t Turn Into a Robot,dont-turn-into-a-robot,2025-06-11T11:27:07.000Z,2025-06-06T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,"You can push for performance without burning people out. This post breaks down how to lead under pressure, manage emotional chaos, and build a culture your team trusts.",published,dont-turn-into-a-robot
post-the-butterfly-effect,The Butterfly Effect,the-butterfly-effect,2025-06-11T11:27:07.000Z,2025-06-05T09:00:01.000Z,Hannes Oosthuizen,Founders Diary,present,You're not just building a company. You're building momentum. Every early decision — from clients to culture — sets a precedent. This post breaks down how to avoid compounding bad fits and start multiplying the right kind of growth.,published,the-butterfly-effect
post-fire-faster-promote-faster,Fire Faster. Promote Faster.,fire-faster-promote-faster,2025-06-11T11:27:07.000Z,2025-06-04T09:00:02.000Z,Hannes Oosthuizen,Founders Diary,present,Stop dragging your feet. Learn how to protect culture and drive results with faster team decisions.,published,fire-faster-promote-faster
post-scale-responsibly,Scale Responsibly,scale-responsibly,2025-06-11T11:27:07.000Z,2025-06-03T09:00:02.000Z,Hannes Oosthuizen,Founders Diary,present,"Scaling doesn’t fix broken systems — it amplifies them. Before you chase growth, ask yourself: can your team carry the weight? At Nexubis, we learned the hard way that bad hires, weak leadership, and rushed decisions don’t just slow you dow",published,scale-responsibly
post-the-secret-third-option,The Secret Third Option,the-secret-third-option,2025-06-11T11:27:07.000Z,2025-06-02T09:00:02.000Z,Hannes Oosthuizen,Founders Diary,present,"If the only options suck, don’t pick one — build something better. Here’s how great founders avoid false choices, rethink strategy, and create smarter solutions that actually work.",published,the-secret-third-option
post-the-biggest-risk-playing-it-safe,The Biggest Risk? Playing It Safe,the-biggest-risk-playing-it-safe,2025-09-05T11:08:10.000Z,2025-09-05T11:07:16.000Z,Hannes Oosthuizen,Founders Diary,present,"Founders are told to wait—wait for product-market fit, the perfect hire, the ideal timing. But risk is unavoidable. What matters is choosing the kind that drives you forward. At Nexubis, we chose speed, not safety.",published,the-biggest-risk-playing-it-safe
post-press-pause,Press Pause,press-pause,2025-06-11T11:27:07.000Z,2025-05-29T08:20:43.000Z,Hannes Oosthuizen,Founders Diary,present,"If you’re a founder who equates movement with momentum, this one’s for you. I learned the hard way that constant output doesn’t equal impact. Here’s what changed when I finally pressed pause—and how it saved more than just my sanity.",published,press-pause
post-manifestation-from-impossible-to-probable,Manifestation: From Impossible to Probable,manifestation-from-impossible-to-probable,2025-06-11T11:27:07.000Z,2025-05-28T08:34:01.000Z,Hannes Oosthuizen,Founders Diary,present,Call it manifestation or mental strategy—what matters is this: the way you see yourself changes how the world responds. Here's how to make that shift real.,published,manifestation-from-impossible-to-probable
post-stop-selling-time-start-delivering-value,Stop Selling Time. Start Delivering Value.,stop-selling-time-start-delivering-value,2025-06-12T13:55:37.000Z,2025-06-12T13:55:09.000Z,Hannes Oosthuizen,Company,present,Hourly billing rewards inefficiency. That’s why we replaced it with a flat-rate creative subscription. Predictable pricing. Direct access. No bloat. Just results.,published,stop-selling-time-start-delivering-value
post-the-nexubis-referral-program,The Nexubis Referral Program,the-nexubis-referral-program,2025-06-12T13:55:37.000Z,2025-06-12T13:55:21.000Z,Hannes Oosthuizen,Company,present,"We're launching the Nexubis Referral Program: a simple way to earn lifetime discounts just for recommending a service you already trust. No affiliate codes, no hoops—just stackable rewards for every successful referral. Get 5%, 7%, and then",published,the-nexubis-referral-program
post-overcoming-imposter-syndrome,Overcoming Imposter Syndrome,overcoming-imposter-syndrome,2025-06-11T11:27:07.000Z,2025-05-27T09:10:53.000Z,Hannes Oosthuizen,Founders Diary,present,"Think imposter syndrome means you’re not ready? For new managers, startup leaders, and first-time leads, it’s a sign you care. This story shows how creative leadership is built — through ownership, feedback loops, and doing the uncomfortabl",published,overcoming-imposter-syndrome
post-dragonborn,Dragonborn,dragonborn,2025-06-11T11:27:07.000Z,2025-05-26T08:54:17.000Z,Hannes Oosthuizen,Founders Diary,present,"Before I was a founder, I was a kid obsessed with dragons. That fire never died — it just evolved. Here’s how I turned childhood wonder into a purpose-driven business, built a brand from scratch, and proved every doubt wrong. A real look at",published,dragonborn
post-building-a-leadership-team,Building a Leadership Team,building-a-leadership-team,2025-06-11T11:27:07.000Z,2025-05-23T10:32:05.000Z,Hannes Oosthuizen,Founders Diary,present,Hiring an executive team too early is one of the most common startup mistakes. We bootstrapped our way to scale with in-house leaders who grew with the company—and it paid off.,published,building-a-leadership-team
post-not-everyone-wants-the-gold-bar,Not Everyone Wants the Gold Bar,not-everyone-wants-the-gold-bar,2025-06-11T11:27:07.000Z,2025-05-21T13:05:18.000Z,Hannes Oosthuizen,Founders Diary,present,"Some prospects will walk right past your gold bar—and that’s on you. If you’re still chasing every lead like they’re a sure win, you’re wasting time and energy. The secret to real growth? Stop begging for attention and start focusing on the",published,not-everyone-wants-the-gold-bar
post-the-process-or-people-problem,The Process or People Problem,the-process-or-people-problem,2025-06-11T11:27:07.000Z,2025-05-21T07:39:29.000Z,Hannes Oosthuizen,Founders Diary,present,"If performance is slipping, don’t blame the person too fast. Most breakdowns come from broken systems — not bad hires. Here’s how to tell the difference before it costs you growth.",published,the-process-or-people-problem
post-most-of-my-job-sucks,Most of My Job Sucks,most-of-my-job-sucks,2025-06-11T11:27:07.000Z,2025-05-20T14:02:55.000Z,Hannes Oosthuizen,Founders Diary,present,"Being a founder isn’t about sleek titles or big exits. It’s about weight, pressure, and purpose. This is the raw, unfiltered truth — and why it’s all worth it.",published,most-of-my-job-sucks
post-empowering-clients,Empowering Clients,empowering-clients,2025-06-11T11:27:07.000Z,2025-05-19T12:18:20.000Z,Hannes Oosthuizen,Empowering Dreams,present,Quick wins don’t build empires. Long-term success comes from choosing partners who challenge assumptions and sharpen your strategy. The best business leaders know that real growth comes from agencies who don’t just deliver work but become t,published,empowering-clients
post-building-fast-vs-building-right,Building Fast vs. Building Right,building-fast-vs-building-right,2025-06-11T11:27:07.000Z,2025-05-16T12:54:23.000Z,Hannes Oosthuizen,Startup Stack,present,"Launching too early kills more startups than bad ideas ever will. Founders are told to move fast — but speed without strategy destroys trust and momentum. This post breaks down how to ship at the right time, avoid the common pre-Series A pi",published,building-fast-vs-building-right
post-empowering-communities,Empowering Communities,empowering-communities,2025-06-11T11:27:07.000Z,2025-05-15T15:07:24.000Z,Hannes Oosthuizen,Empowering Dreams,present,"Most creative and tech internships are broken. They're sold as career starters but end up being busywork and disappointment. At Nexubis, we’re doing it differently — with real training, high-stakes responsibility, and full-circle support. T",published,empowering-communities
post-the-work-life-balance-lie,The Work-Life Balance Lie,the-work-life-balance-lie,2025-06-11T11:27:07.000Z,2025-05-14T12:27:02.000Z,Hannes Oosthuizen,Founders Diary,present,"Work-life balance is a lie—and if you’re a founder, you already know it. This isn’t about burnout glorification. It’s about what balance actually looks like when you’re the one building the whole damn thing.",published,the-work-life-balance-lie
