sourcePostTitle,sourcePostSlug,anchorText,originalHref,normalisedHref,parentText,beforeText,afterText,order,classification,destinationVerified,htmlFragment
"For Professionals, By Professionals",for-professionals-by-professionals,working hard,https://www.nexubis.io/post/straight-line-thinking,/post/straight-line-thinking,"We’ve written about this before in Founders Diary.Like how “the myth of the perfect hire” isn’t about finding unicorns… it's about hiring smart, adaptable people who grow with the company.Or how “working hard” isn’t the flex people think it is… if your output is low and your tools are prehistoric, you’re just wasting daylight.","ing unicorns… it's about hiring smart, adaptable people who grow with the company.Or how “","” isn’t the flex people think it is… if your output is low and your tools are prehistoric,",2,INTERNAL_BLOG,LIVE_200,"<p id="""">We’ve written about this before in <em id="""">Founders Diary</em>.<br>Like how “<a href=""https://www.nexubis.io/post/the-myth-of-the-perfect-hire"">the myth of the perfect hire</a>” isn’t about finding unicorns… it's about hiring smart, adaptable people who grow with the company.<br>Or how “<a href=""https://www.nexubis.io/post/straight-line-thinking"">working hard</a>” isn’t the flex people think it is… if your output is low and your tools are prehistoric, you’re just wasting daylight.</p>"
Goals vs. Movement,goals-vs-movement,last week’s article,https://www.nexubis.io/post/2025-in-retrospect,/post/2025-in-retrospect,"To build on top of last week’s article, where I unpacked some of the biggest initiatives on Nexubis’ roadmap for 2025, I want to flip the lens inward for a moment. Less company, more founder. This time the focus is on the biggest lesson 2025 handed me as a human being, not just a CEO.",To build on top of ,", where I unpacked some of the biggest initiatives on Nexubis’ roadmap for 2025, I want to",1,INTERNAL_BLOG,LIVE_200,"<p id="""">To build on top of <a id="""" href=""https://www.nexubis.io/post/2025-in-retrospect""><strong id="""">last week’s article</strong></a>, where I unpacked some of the biggest initiatives on Nexubis’ roadmap for 2025, I want to flip the lens inward for a moment. Less company, more <em id="""">founder</em>. This time the focus is on the biggest lesson 2025 handed me as a human being, not just a CEO.</p>"
How We Landed on Empowering Dreams,how-we-landed-on-empowering-dreams,video below,https://www.instagram.com/reel/DDJvaunKvVL/?igsh=bWc2ZWM5aHNqcWJ5,https://www.instagram.com/reel/DDJvaunKvVL/?igsh=bWc2ZWM5aHNqcWJ5,👉 Check out our slogan announcement video below.,👉 Check out our slogan announcement ,.,1,EXTERNAL,PRESERVED_EXTERNAL,"<p id="""">👉 <em id="""">Check out our slogan announcement </em><a id="""" href=""https://www.instagram.com/reel/DDJvaunKvVL/?igsh=bWc2ZWM5aHNqcWJ5""><em id="""">video below</em></a><em id="""">. </em></p>"
Long-Term Greed,long-term-greed,previous article,https://www.nexubis.io/post/dick-proves-the-agency-stereotype,/post/dick-proves-the-agency-stereotype,In the previous article we unpacked the agency stereotype and how Nexubis is trying pretty damn hard to fight it.,In the , we unpacked the agency stereotype and how Nexubis is trying pretty damn hard to fight it.,1,INTERNAL_BLOG,LIVE_200,"<p id="""">In the <a id="""" href=""https://www.nexubis.io/post/dick-proves-the-agency-stereotype"">previous article</a> we unpacked the agency stereotype and how Nexubis is trying pretty damn hard to fight it.</p>"
Oxipack: Funding Nexubis,oxipack-empowering-nexubis,here,https://www.nexubis.io/post/altify-empowering-nexubis,/post/altify-empowering-nexubis,"Back in my Altify days (if you haven’t read that story, do yourself a favour and check it out here), I worked in a marketing team alongside one absolute powerhouse: Brigitte. Sharp, funny, and terrifying in the best way - she kept everyone on their toes. You couldn’t slack off around her if you tried. She was the kind of person who made things move."," in my Altify days (if you haven’t read that story, do yourself a favour and check it out ","), I worked in a marketing team alongside one absolute powerhouse: Brigitte. Sharp, funny,",1,INTERNAL_BLOG,LIVE_200,"<p id="""">Back in my Altify days (if you haven’t read that story, do yourself a favour and check it out <a id="""" href=""https://www.nexubis.io/post/altify-empowering-nexubis"">here</a>), I worked in a marketing team alongside one absolute powerhouse: Brigitte. Sharp, funny, and terrifying in the best way - she kept everyone on their toes. You couldn’t slack off around her if you tried. She was the kind of person who made things <em id="""">move</em>.</p>"
Pick Your Battles,pick-your-battles,Your Perception Is Your Reality:,https://www.nexubis.io/post/your-perception-is-your-reality,/post/your-perception-is-your-reality,As we wrote in Your Perception Is Your Reality:,As we wrote in ,,1,INTERNAL_BLOG,LIVE_200,"<p id="""">As we wrote in <a id="""" href=""https://www.nexubis.io/post/your-perception-is-your-reality""><em id="""">Your Perception Is Your Reality</em>:</a></p>"
Pick Your Battles,pick-your-battles,Resentment Is a Symptom of Poor Process:,https://www.nexubis.io/post/resentment-is-a-symptom-of-poor-process,/post/resentment-is-a-symptom-of-poor-process,"Again, as we wrote in Resentment Is a Symptom of Poor Process:","Again, as we wrote in ",,2,INTERNAL_BLOG,LIVE_200,"<p id="""">Again, as we wrote in <a id="""" href=""https://www.nexubis.io/post/resentment-is-a-symptom-of-poor-process""><em id="""">Resentment Is a Symptom of Poor Process</em>:</a></p>"
Resentment Is a Symptom of Poor Process,resentment-is-a-symptom-of-poor-process,“Process vs. People”,/post/the-process-or-people-problem,/post/the-process-or-people-problem,We wrote about this before in the “Process vs. People” article — and it still holds.,We wrote about this before in the , article — and it still holds.,1,INTERNAL_BLOG,LIVE_200,"<p id="""">We wrote about this before in the <a href=""/post/the-process-or-people-problem"">“Process vs. People”</a> article — and it still holds.</p>"
Startups Don’t Need More Features,startups-dont-need-more-features,If it ain’t broke — refine it.,https://www.nexubis.io/post/if-it-aint-broke-refine-it,/post/if-it-aint-broke-refine-it,If it ain’t broke — refine it. Don’t wreck it.,, Don’t wreck it.,1,INTERNAL_BLOG,LIVE_200,"<p id=""""><a id="""" href=""https://www.nexubis.io/post/if-it-aint-broke-refine-it"">If it ain’t broke — refine it.</a> <strong id="""">Don’t wreck it.</strong></p>"
Stop Selling Time. Start Delivering Value.,stop-selling-time-start-delivering-value,Referral Program →,https://www.nexubis.io/post/the-nexubis-referral-program,/post/the-nexubis-referral-program,We offer up to 10% lifetime discount through our Referral Program →.Send great clients our way — we’ll send some savings back to you. Simple as that.,We offer up to 10% lifetime discount through our ,.Send great clients our way — we’ll send some savings back to you. Simple as that.,1,INTERNAL_BLOG,LIVE_200,"<p id="""">We offer <strong id="""">up to 10% lifetime discount</strong> through our<a href=""https://www.nexubis.io/post/the-nexubis-referral-program""> Referral Program →</a>.<br>Send great clients our way — we’ll send some savings back to you. Simple as that.</p>"
The Age of AGI,the-age-of-agi,The New Creative Stack,https://www.nexubis.io/post/the-new-creative-stack,/post/the-new-creative-stack,"If you haven’t read the last three entries -The New Creative Stack, Automation is Not the Enemy, or You’re Not Ready for What’s Coming - pause here and catch up.",If you haven’t read the last three entries -,", Automation is Not the Enemy, or You’re Not Ready for What’s Coming - pause here and catc",1,INTERNAL_BLOG,LIVE_200,"<p id="""">If you haven’t read the last three entries -<br><a id="""" href=""https://www.nexubis.io/post/the-new-creative-stack"">The New Creative Stack</a>, <a id="""" href=""https://www.nexubis.io/post/automation-is-not-the-enemy"">Automation is Not the Enemy</a>, or <a id="""" href=""https://www.nexubis.io/post/youre-not-ready-for-whats-coming"">You’re Not Ready for What’s Coming</a> - pause here and catch up.</p>"
The Age of AGI,the-age-of-agi,Automation is Not the Enemy,https://www.nexubis.io/post/automation-is-not-the-enemy,/post/automation-is-not-the-enemy,"If you haven’t read the last three entries -The New Creative Stack, Automation is Not the Enemy, or You’re Not Ready for What’s Coming - pause here and catch up.","If you haven’t read the last three entries -The New Creative Stack, ",", or You’re Not Ready for What’s Coming - pause here and catch up.",2,INTERNAL_BLOG,LIVE_200,"<p id="""">If you haven’t read the last three entries -<br><a id="""" href=""https://www.nexubis.io/post/the-new-creative-stack"">The New Creative Stack</a>, <a id="""" href=""https://www.nexubis.io/post/automation-is-not-the-enemy"">Automation is Not the Enemy</a>, or <a id="""" href=""https://www.nexubis.io/post/youre-not-ready-for-whats-coming"">You’re Not Ready for What’s Coming</a> - pause here and catch up.</p>"
The Age of AGI,the-age-of-agi,You’re Not Ready for What’s Coming,https://www.nexubis.io/post/youre-not-ready-for-whats-coming,/post/youre-not-ready-for-whats-coming,"If you haven’t read the last three entries -The New Creative Stack, Automation is Not the Enemy, or You’re Not Ready for What’s Coming - pause here and catch up.","en’t read the last three entries -The New Creative Stack, Automation is Not the Enemy, or ", - pause here and catch up.,3,INTERNAL_BLOG,LIVE_200,"<p id="""">If you haven’t read the last three entries -<br><a id="""" href=""https://www.nexubis.io/post/the-new-creative-stack"">The New Creative Stack</a>, <a id="""" href=""https://www.nexubis.io/post/automation-is-not-the-enemy"">Automation is Not the Enemy</a>, or <a id="""" href=""https://www.nexubis.io/post/youre-not-ready-for-whats-coming"">You’re Not Ready for What’s Coming</a> - pause here and catch up.</p>"
The Builders Will Survive,the-builders-will-survive,The New Creative Stack,https://www.nexubis.io/post/the-new-creative-stack,/post/the-new-creative-stack,"The New Creative Stack - Design tools are fusing, compressing workflows.",," - Design tools are fusing, compressing workflows.",1,INTERNAL_BLOG,LIVE_200,"<li id=""""><a href=""https://www.nexubis.io/post/the-new-creative-stack"">The New Creative Stack</a> - Design tools are fusing, compressing workflows.<br></li>"
The Builders Will Survive,the-builders-will-survive,Automation is Not the Enemy,https://www.nexubis.io/post/automation-is-not-the-enemy,/post/automation-is-not-the-enemy,Automation is Not the Enemy - Design is no longer pixels. It's translation.,, - Design is no longer pixels. It's translation.,2,INTERNAL_BLOG,LIVE_200,"<li id=""""><a href=""https://www.nexubis.io/post/automation-is-not-the-enemy"">Automation is Not the Enemy</a> - Design is no longer pixels. It's translation.<br></li>"
The Builders Will Survive,the-builders-will-survive,You’re Not Ready for What’s Coming,https://www.nexubis.io/post/youre-not-ready-for-whats-coming,/post/youre-not-ready-for-whats-coming,"You’re Not Ready for What’s Coming - AI isn’t emerging, it’s erupting.",," - AI isn’t emerging, it’s erupting.",3,INTERNAL_BLOG,LIVE_200,"<li id=""""><a href=""https://www.nexubis.io/post/youre-not-ready-for-whats-coming"">You’re Not Ready for What’s Coming</a> - AI isn’t emerging, it’s erupting.<br></li>"
The Builders Will Survive,the-builders-will-survive,The Age of AGI,https://www.nexubis.io/post/the-age-of-agi,/post/the-age-of-agi,The Age of AGI - We're not preparing for AGI. We’re racing toward it.,, - We're not preparing for AGI. We’re racing toward it.,4,INTERNAL_BLOG,LIVE_200,"<li id=""""><a href=""https://www.nexubis.io/post/the-age-of-agi"">The Age of AGI</a> - We're not preparing for AGI. We’re racing toward it.<br><br></li>"
The Discipline of Quitting,the-discipline-of-quitting,So I fired myself.,https://www.nexubis.io/post/keep-firing-yourself-part-2,/post/keep-firing-yourself-part-2,"So I fired myself. From design. From dev. From ops. Every time I quit a role, Nexubis leveled up.",," From design. From dev. From ops. Every time I quit a role, Nexubis leveled up.",1,INTERNAL_BLOG,LIVE_200,"<p id=""""><a id="""" href=""https://www.nexubis.io/post/keep-firing-yourself-part-2"">So I fired myself.</a> From design. From dev. From ops. Every time I quit a role, Nexubis leveled up.</p>"
The Discipline of Quitting,the-discipline-of-quitting,quit hourly billing.,https://www.nexubis.io/post/stop-selling-time-start-delivering-value,/post/stop-selling-time-start-delivering-value,"We also quit hourly billing. On paper, it was the “safe” option. Predictable. Easy to explain. Clients understood it.",We also ," On paper, it was the “safe” option. Predictable. Easy to explain. Clients understood it.",2,INTERNAL_BLOG,LIVE_200,"<p id="""">We also <a id="""" href=""https://www.nexubis.io/post/stop-selling-time-start-delivering-value"">quit hourly billing.</a> On paper, it was the “safe” option. Predictable. Easy to explain. Clients understood it.</p>"
The Discipline of Quitting,the-discipline-of-quitting,Promote faster. Fire faster.,https://www.nexubis.io/post/fire-faster-promote-faster,/post/fire-faster-promote-faster,Promote faster. Fire faster. Protect momentum.,, Protect momentum.,3,INTERNAL_BLOG,LIVE_200,"<p id=""""><a id="""" href=""https://www.nexubis.io/post/fire-faster-promote-faster"">Promote faster. Fire faster.</a> Protect momentum.</p>"
The Discipline of Quitting,the-discipline-of-quitting,So I pressed pause.,https://www.nexubis.io/post/press-pause,/post/press-pause,So I pressed pause.,,,4,INTERNAL_BLOG,LIVE_200,"<p id=""""><a id="""" href=""https://www.nexubis.io/post/press-pause"">So I pressed pause.</a></p>"
The Flex Package,the-flex-package,hello@nexubis.io,mailto:hello@nexubis.io,mailto:hello@nexubis.io,You can email us directly at hello@nexubis.io with a short note about what you’re looking for.,You can email us directly at , with a short note about what you’re looking for.,1,MAILTO,PRESERVED_EXTERNAL,"<p id="""">You can email us directly at <a href=""mailto:hello@nexubis.io"">hello@nexubis.io</a> with a short note about what you’re looking for.</p>"
The Flex Package,the-flex-package,book a quick intro call,https://calendly.com/nexubis/intro-call,/contact,"Or if you’d prefer a face-to-face, book a quick intro call and we’ll walk you through how we can build your Flex plan from scratch.","Or if you’d prefer a face-to-face, ", and we’ll walk you through how we can build your Flex plan from scratch.,2,BOOKING_CTA,LIVE_200,"<p id="""">Or if you’d prefer a face-to-face,<a href=""https://calendly.com/nexubis/intro-call""> book a quick intro call</a> and we’ll walk you through how we can build your Flex plan from scratch.</p>"
The Gold Bar Theory,the-gold-bar-theory,Not Everyone Wants the Gold Bar.,https://www.nexubis.io/post/not-everyone-wants-the-gold-bar,/post/not-everyone-wants-the-gold-bar,"About a year ago, I published an article called Not Everyone Wants the Gold Bar. The idea was simple. You could stand in the middle of town holding a gold bar, offering it to people for free, and most would still walk straight past you. A few might stop and engage, but the majority would not.","About a year ago, I published an article called "," The idea was simple. You could stand in the middle of town holding a gold bar, offering i",1,INTERNAL_BLOG,LIVE_200,"<p>About a year ago, I published an article called <a href=""https://www.nexubis.io/post/not-everyone-wants-the-gold-bar""><em>Not Everyone Wants the Gold Bar</em>.</a> The idea was simple. You could stand in the middle of town holding a gold bar, offering it to people for free, and most <strong>would still walk straight past you.</strong> A few might stop and engage, but the majority would not.</p>"
The Legendary Play ,the-legendary-play,Secret Third Option.,https://www.nexubis.io/post/the-secret-third-option,/post/the-secret-third-option,I call it the Secret Third Option.,I call it the ,,1,INTERNAL_BLOG,LIVE_200,"<p id="""">I call it the<a id="""" href=""https://www.nexubis.io/post/the-secret-third-option""> Secret Third Option.</a></p>"
The Legendary Play ,the-legendary-play,Memorability in business,https://www.nexubis.io/post/make-it-memorable,/post/make-it-memorable,Memorability in business isn’t about being flawless. It’s about turning friction into a story worth retelling.‍,, isn’t about being flawless. It’s about turning friction into a story worth retelling.‍,2,INTERNAL_BLOG,LIVE_200,"<p id=""""><a id="""" href=""https://www.nexubis.io/post/make-it-memorable"">Memorability in business</a> isn’t about being flawless. It’s about turning friction into a story worth retelling.<br>‍</p>"
The Legendary Play ,the-legendary-play,Not every hill is worth dying on.,https://www.nexubis.io/post/pick-your-battles,/post/pick-your-battles,Not every hill is worth dying on. But some battles are worth reframing.,, But some battles are worth reframing.,3,INTERNAL_BLOG,LIVE_200,"<p id=""""><a id="""" href=""https://www.nexubis.io/post/pick-your-battles"">Not every hill is worth dying on.</a> But some battles are worth reframing.</p>"
The Work-Life Balance Lie,the-work-life-balance-lie,you can read it here,/post/keep-firing-yourself,/post/keep-firing-yourself,"That’s why I fired myself from every role in my company.(If you missed that post, you can read it here).","That’s why I fired myself from every role in my company.(If you missed that post, ",).,1,INTERNAL_BLOG,LIVE_200,"<p id="""">That’s <em id="""">why</em> I fired myself from every role in my company.<br>(If you missed that post,<a id="""" href=""/post/keep-firing-yourself""> you can read it here</a>).</p>"
Welcome to Dreamlab,welcome-to-dreamlab,"""How It All Started (and Almost Didn’t)""",http://www.nexubis.io/post/how-it-all-started-and-almost-didnt,/post/how-it-all-started-and-almost-didnt,"Read: ""How It All Started (and Almost Didn’t)""",Read: ,,1,INTERNAL_BLOG,LIVE_200,"<p id=""""><em id="""">Read:</em> <a id="""" href=""http://www.nexubis.io/post/how-it-all-started-and-almost-didnt"">""How It All Started (and Almost Didn’t)""</a></p>"
Welcome to Dreamlab,welcome-to-dreamlab,“What early stage founders spend too much time on”,http://www.nexubis.io/post/what-early-stage-founders-spend-way-too-much-time-on,/post/what-early-stage-founders-spend-way-too-much-time-on,Read: “What early stage founders spend too much time on”,Read: ,,2,INTERNAL_BLOG,LIVE_200,"<p id=""""><em id="""">Read:</em> <a id="""" href=""http://www.nexubis.io/post/what-early-stage-founders-spend-way-too-much-time-on"">“What early stage founders spend too much time on”</a></p>"
Welcome to Dreamlab,welcome-to-dreamlab,“How We Landed on Empowering Dreams — and Why It Stuck”,http://www.nexubis.io/post/how-we-landed-on-empowering-dreams,/post/how-we-landed-on-empowering-dreams,Read: “How We Landed on Empowering Dreams — and Why It Stuck”,Read: ,,3,INTERNAL_BLOG,LIVE_200,"<p id=""""><em id="""">Read:</em> <a id="""" href=""http://www.nexubis.io/post/how-we-landed-on-empowering-dreams"">“How We Landed on Empowering Dreams — and Why It Stuck”</a></p>"
Welcome to Dreamlab,welcome-to-dreamlab,AI Isn’t Coming — It’s Already Here,http://www.nexubis.io/post/ai-isnt-coming-its-already-here,/post/ai-isnt-coming-its-already-here,Read: “AI Isn’t Coming — It’s Already Here”,Read: “,”,4,INTERNAL_BLOG,LIVE_200,"<p id=""""><em id="""">Read:</em> “<a id="""" href=""http://www.nexubis.io/post/ai-isnt-coming-its-already-here"">AI Isn’t Coming — It’s Already Here</a>”</p>"
You’re Not Ready for What’s Coming,youre-not-ready-for-whats-coming,The New Creative Stack,https://www.nexubis.io/post/the-new-creative-stack,/post/the-new-creative-stack,"If you haven’t read The New Creative Stack or Automation Is Not the Enemy, go knock those out — they’ll give you a good sense of what’s about to be flipped on its head.",If you haven’t read ," or Automation Is Not the Enemy, go knock those out — they’ll give you a good sense of wha",1,INTERNAL_BLOG,LIVE_200,"<p id="""">If you haven’t read <a href=""https://www.nexubis.io/post/the-new-creative-stack"">The New Creative Stack</a> or <a href=""https://www.nexubis.io/post/automation-is-not-the-enemy"">Automation Is Not the Enemy</a>, go knock those out — they’ll give you a good sense of what’s about to be flipped on its head.</p>"
You’re Not Ready for What’s Coming,youre-not-ready-for-whats-coming,Automation Is Not the Enemy,https://www.nexubis.io/post/automation-is-not-the-enemy,/post/automation-is-not-the-enemy,"If you haven’t read The New Creative Stack or Automation Is Not the Enemy, go knock those out — they’ll give you a good sense of what’s about to be flipped on its head.",If you haven’t read The New Creative Stack or ,", go knock those out — they’ll give you a good sense of what’s about to be flipped on its ",2,INTERNAL_BLOG,LIVE_200,"<p id="""">If you haven’t read <a href=""https://www.nexubis.io/post/the-new-creative-stack"">The New Creative Stack</a> or <a href=""https://www.nexubis.io/post/automation-is-not-the-enemy"">Automation Is Not the Enemy</a>, go knock those out — they’ll give you a good sense of what’s about to be flipped on its head.</p>"
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,Flux Academy's,https://www.flux-academy.com/,https://www.flux-academy.com/,"Last month I did Flux Academy's AI Web Design Sprint, run by Julian Galluzzo. Four days, one-hour lessons, ninety-minute Q&As on the back of each session. The exercise was simple: take a Figma design, build it into a fully responsive, animated, hosted website using Claude Code, GitHub, and Vercel. No Webflow. No Framer. No browser-based builder.",Last month I did ," AI Web Design Sprint, run by Julian Galluzzo. Four days, one-hour lessons, ninety-minute ",1,EXTERNAL,PRESERVED_EXTERNAL,"<p>Last month I did<a href=""https://www.flux-academy.com/""> Flux Academy's</a> AI Web Design Sprint, run by Julian Galluzzo. Four days, one-hour lessons, ninety-minute Q&amp;As on the back of each session. The exercise was simple: take a Figma design, build it into a fully responsive, animated, hosted website using Claude Code, GitHub, and Vercel. No Webflow. No Framer. No browser-based builder.</p>"
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,Ship Studio,https://www.ship.studio/,https://www.ship.studio/,Ship Studio as the UI that pulls the whole stack into one place. Workspace management. Responsive testing across breakpoints. Branch management for GitHub and Vercel. It keeps you out of five different windows so you can actually build.,, as the UI that pulls the whole stack into one place. Workspace management. Responsive tes,2,EXTERNAL,PRESERVED_EXTERNAL,"<p><a href=""https://www.ship.studio/""><strong>Ship Studio</strong></a> as the UI that pulls the whole stack into one place. Workspace management. Responsive testing across breakpoints. Branch management for GitHub and Vercel. It keeps you out of five different windows so you can actually build.</p>"
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,Claude Code,https://claude.ai/,https://claude.ai/,"Claude Code for the actual development (or Codex if you'd rather use OpenAI — both work, swap them out inside Ship Studio).",," for the actual development (or Codex if you'd rather use OpenAI — both work, swap them ou",3,EXTERNAL,PRESERVED_EXTERNAL,"<p><a href=""https://claude.ai/""><strong>Claude Code</strong></a> for the actual development (or Codex if you'd rather use OpenAI — both work, swap them out inside Ship Studio).</p>"
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,GitHub,https://github.com/,https://github.com/,GitHub for the repository and branch management.,, for the repository and branch management.,4,EXTERNAL,PRESERVED_EXTERNAL,"<p><a href=""https://github.com/""><strong>GitHub</strong></a> for the repository and branch management.</p>"
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,Vercel,https://vercel.com/,https://vercel.com/,Vercel for hosting and the domain.,, for hosting and the domain.,5,EXTERNAL,PRESERVED_EXTERNAL,"<p><a href=""https://vercel.com/""><strong>Vercel</strong></a> for hosting and the domain.</p>"
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,Sanity,https://www.sanity.io/,https://www.sanity.io/,"Sanity for the CMS, when a CMS is needed.",," for the CMS, when a CMS is needed.",6,EXTERNAL,PRESERVED_EXTERNAL,"<p><a href=""https://www.sanity.io/""><strong>Sanity</strong></a> for the CMS, when a CMS is needed.</p>"
